"Volunteer" "ActivityLabel" "activity_mean"
1 1 -0.0610545037484828
1 2 -0.197266054897095
1 3 -0.0253969508674971
1 4 -0.287539021467816
1 5 -0.295699915757656
1 6 -0.287128222590253
2 1 -0.106991963305456
2 2 -0.123712659748999
2 3 -0.018623363058888
2 4 -0.302664075450149
2 5 -0.305931529269707
2 6 -0.282254316938563
3 1 -0.133124635168182
3 2 -0.192165626103809
3 3 -0.0947995390492333
3 4 -0.30738160861938
3 5 -0.342032250160264
3 6 -0.294137376413721
4 1 -0.164321022531525
4 2 -0.190085295695473
4 3 -0.0965727390947052
4 4 -0.319602353308119
4 5 -0.325567141250917
4 6 -0.304294812167448
5 1 -0.130303562149479
5 2 -0.133036202494275
5 3 -0.0598698980984998
5 4 -0.311985685581997
5 5 -0.32170229627683
5 6 -0.289490298570577
6 1 -0.0733498895257342
6 2 -0.101560548503618
6 3 0.0345701745043553
6 4 -0.304905455445057
6 5 -0.322001690978378
6 6 -0.289304410637627
7 1 -0.0598637512439705
7 2 -0.203121781490748
7 3 -0.0681061884515335
7 4 -0.328113931936301
7 5 -0.340659801090804
7 6 -0.332489862160372
8 1 -0.0657562106599399
8 2 -0.0695132232752692
8 3 0.0491235899811817
8 4 -0.31127107889714
8 5 -0.312779070083798
8 6 -0.302950148274794
9 1 -0.124762728352779
9 2 -0.204430190633732
9 3 -0.082623032118341
9 4 -0.34673174503357
9 5 -0.335581890034973
9 6 -0.346945267721078
10 1 -0.0721182787921082
10 2 -0.113004572018576
10 3 -0.0154961278651887
10 4 -0.294187245768303
10 5 -0.318330528602684
10 6 -0.285552962453091
11 1 -0.180365721048437
11 2 -0.238174571892952
11 3 -0.114490723419057
11 4 -0.305041999500217
11 5 -0.300216402457555
11 6 -0.28796077073335
12 1 -0.0887229016619283
12 2 -0.185121215121567
12 3 -0.0529474722186634
12 4 -0.322287712507181
12 5 -0.323703078090659
12 6 -0.305549190596089
13 1 -0.0624214660884836
13 2 -0.189654352805925
13 3 -0.0607416382550803
13 4 -0.30243129475152
13 5 -0.319936812603356
13 6 -0.305846228040788
14 1 -0.150428172513315
14 2 -0.114809620932942
14 3 0.00315871583475891
14 4 -0.343404861607435
14 5 -0.349092252744824
14 6 -0.337218894717299
15 1 -0.148241407683587
15 2 -0.17567587599559
15 3 -0.052899541456469
15 4 -0.304518162618123
15 5 -0.319142254145409
15 6 -0.314495357131774
16 1 -0.177969250211424
16 2 -0.224509851349952
16 3 -0.104512936527768
16 4 -0.297977954527728
16 5 -0.315326661120857
16 6 -0.327405718173379
17 1 -0.143698874135821
17 2 -0.178328074595542
17 3 -0.138191722564204
17 4 -0.297753102833367
17 5 -0.308331456896178
17 6 -0.300568591063116
18 1 -0.173110875517139
18 2 -0.259929448762934
18 3 -0.20331058879896
18 4 -0.293307714779857
18 5 -0.334513978919391
18 6 -0.280408749544581
19 1 0.00759653509349838
19 2 -0.0688297009122358
19 3 0.132480514127335
19 4 -0.330971448456987
19 5 -0.330852845573908
19 6 -0.296835040003293
20 1 -0.0193438404935523
20 2 -0.124585934509862
20 3 -0.041461327709291
20 4 -0.327693860296418
20 5 -0.346572615046957
20 6 -0.301082021782402
21 1 -0.0836538075020911
21 2 -0.145080104313468
21 3 -0.0499561794485157
21 4 -0.298322678776433
21 5 -0.326380030931793
21 6 -0.323245765196873
22 1 -0.0232913075313384
22 2 -0.0742071204737601
22 3 -0.0398406775800267
22 4 -0.326362703814455
22 5 -0.352121156071411
22 6 -0.305893248038878
23 1 -0.01656947121496
23 2 -0.13055607545879
23 3 0.0498731754314256
23 4 -0.299164699239621
23 5 -0.330104984324521
23 6 -0.292127106710452
24 1 -0.159926377151083
24 2 -0.2009817402348
24 3 -0.108130676794779
24 4 -0.317392229180781
24 5 -0.327753964161722
24 6 -0.290980930198354
25 1 -0.225242263606798
25 2 -0.282196294853135
25 3 -0.211093285140342
25 4 -0.308060722954372
25 5 -0.31939918110163
25 6 -0.316437719690155
26 1 -0.127983942650038
26 2 -0.174707342786631
26 3 -0.0929632960919015
26 4 -0.311522995860041
26 5 -0.31875537880666
26 6 -0.282037482775738
27 1 -0.12202701716967
27 2 -0.200074570277026
27 3 -0.0581690777969147
27 4 -0.304642719284453
27 5 -0.312499550682476
27 6 -0.279938500544286
28 1 -0.148603405014071
28 2 -0.1571971172401
28 3 -0.0392080071835558
28 4 -0.329037165045608
28 5 -0.348169870986449
28 6 -0.327137460508292
29 1 -0.0925697989471851
29 2 -0.175417431902487
29 3 -0.0784919820418101
29 4 -0.299171426487223
29 5 -0.308961911716177
29 6 -0.266556982654867
30 1 -0.137309725699829
30 2 -0.247940583015394
30 3 -0.129158161813259
30 4 -0.321242910683128
30 5 -0.353447510379353
30 6 -0.313438912868491
